station_id,suburb,road_name,period,traffic_count,wgs84_latitude,wgs84_longitude
352,Ingleside,Mona Vale Road,OFF PEAK,15249,-33.686592,151.256943
353,Ingleside,Mona Vale Road,PM PEAK,10343,-33.686592,151.256943
354,Belrose,Forest Way,ALL DAYS,38822,-33.725773,151.219788
355,Belrose,Forest Way,AM PEAK,10966,-33.725773,151.219788
356,Belrose,Forest Way,OFF PEAK,19361,-33.725773,151.219788
357,Belrose,Forest Way,PM PEAK,10827,-33.725773,151.219788
358,Liverpool,Hume Highway,ALL DAYS,72269,-33.937553,150.913849
359,Liverpool,Hume Highway,AM PEAK,17156,-33.937553,150.913849
360,Liverpool,Hume Highway,OFF PEAK,37142,-33.937553,150.913849
361,Liverpool,Hume Highway,PM PEAK,20652,-33.937553,150.913849
362,Liverpool,Elizabeth Drive,ALL DAYS,45393,-33.914284,150.907883
363,Liverpool,Elizabeth Drive,AM PEAK,10748,-33.914284,150.907883
